eletrobras.gov.br;000.001.180/0002-07;CENTRAIS ELETRICAS BRASILEIRAS SA;Rio de Janeiro;Rio de Janeiro;09/01/1996 12:00:00;02/07/2014 19:56:36;5023
premioconservacaoenergia.gov.br;000.001.180/0002-07;CENTRAIS ELETRICAS BRASILEIRAS SA;Rio de Janeiro;Rio de Janeiro;24/03/2009 20:07:14;15/04/2013 21:36:17;5379045
procel.gov.br;000.001.180/0002-07;CENTRAIS ELETRICAS BRASILEIRAS SA;Rio de Janeiro;Rio de Janeiro;06/11/2000 18:41:03;05/10/2009 18:54:36;453438
proinfa.gov.br;000.001.180/0002-07;CENTRAIS ELETRICAS BRASILEIRAS SA;Rio de Janeiro;Rio de Janeiro;18/04/2002 14:55:25;15/04/2013 21:36:41;784297
reluz.gov.br;000.001.180/0002-07;CENTRAIS ELETRICAS BRASILEIRAS SA;Rio de Janeiro;Rio de Janeiro;06/11/2000 18:41:04;05/10/2009 18:35:49;453442
bacen.gov.br;000.038.166/0001-05;Banco Central do Brasil;Distrito Federal;Brasília;26/11/1996 11:00:00;17/06/2015 22:19:54;0
bancocentral.gov.br;000.038.166/0001-05;Banco Central do Brasil;Distrito Federal;Brasília;31/12/1998 00:24:21;17/06/2015 22:20:15;135008
bc.gov.br;000.038.166/0001-05;Banco Central do Brasil;Distrito Federal;Brasília;30/12/1998 18:22:39;17/06/2015 22:20:33;133801
bcb.gov.br;000.038.166/0001-05;Banco Central do Brasil;Distrito Federal;Brasília;24/01/1996 12:00:00;17/06/2015 22:20:50;5153
cidadaniafinanceira.gov.br;000.038.166/0001-05;Banco Central do Brasil;Distrito Federal;Brasília;31/03/2015 16:27:25;17/06/2015 22:21:48;13971449
sisbacen.gov.br;000.038.166/0001-05;Banco Central do Brasil;Distrito Federal;Brasília;31/12/1998 00:24:19;18/05/2016 21:19:24;135007
selic.gov.br;000.038.166/0010-98;Banco Central do Brasil;Rio de Janeiro;Rio de Janeiro;28/07/2010 12:18:08;30/03/2011 02:25:07;7082360
dnocs.gov.br;000.043.711/0001-43;DEPARTAMENTO NACIONAL DE OBRAS CONTRA AS SECAS;Ceará;Fortaleza;10/02/1999 19:09:57;04/09/2015 14:09:16;139185
dnocspb.gov.br;000.043.711/0008-10;Segundo Distrito de Engenharia Rural;Paraíba;João Pessoa;14/06/1999 16:47:03;11/03/2016 13:47:39;165937
fhdf.gov.br;000.054.015/0001-32;Secretaria de Saúde do Distrito Federal;Distrito Federal;Brasília;01/01/1996 12:00:00;19/02/2008 20:18:44;1
funai.gov.br;000.059.311/0001-26;Fundação Nacional do Indio;Distrito Federal;Brasília;10/02/1998 13:07:35;null;83785
museudoindio.gov.br;000.059.311/0002-07;Museu do Índio - Fundação Nacional do Índio;Rio de Janeiro;Rio de Janeiro;23/10/2003 16:28:14;11/05/2016 12:47:47;1373769
eletrosul.gov.br;000.073.957/0001-68;Eletrosul Centrais Elétricas S.A.;Santa Catarina;Florianópolis;27/07/1996 12:00:00;29/12/2014 18:59:18;12785
bcdam.gov.br;000.091.652/0002-60;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS;Rio de Janeiro;Rio de Janeiro;null;05/08/2015 18:20:34;145756
cprm.gov.br;000.091.652/0002-60;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS;Rio de Janeiro;Rio de Janeiro;16/02/1996 12:00:00;25/11/2015 15:20:16;5443
redegeochronos.gov.br;000.091.652/0002-60;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS;Rio de Janeiro;Rio de Janeiro;19/05/2006 11:22:45;24/04/2014 17:36:06;2788606
cprm-ma.gov.br;000.091.652/0004-21;Companhia de Pesquisa de Recursos Minerais CPRM;Amazonas;Manaus;23/01/2001 12:07:05;30/12/2002 14:57:15;500371
cprm-be.gov.br;000.091.652/0005-02;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS;Paraná;Belém;18/01/1997 11:00:00;null;28066
cprmba.gov.br;000.091.652/0007-74;Companhia de Pesquisa de Recursos Minerais;Bahia;Salvador;09/03/2001 12:12:55;22/06/2002 14:25:00;523307
cprm-sp.gov.br;000.091.652/0008-55;Companhia de Pesquisa de Recursos Minerais;São Paulo;São Paulo;04/05/1998 17:43:41;05/05/1998 12:00:00;95976
